n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,0.0,250,0.5,0.5,NaiveRecursionSansConfigVars,252,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,BranchAndBound,55,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,DPByCapacity,253,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,VWRatioHeuristic,24,0.08443271767810026000,0.02303449604271438600
15,0.2,250,0.5,0.5,NaiveRecursionSansConfigVars,189,0.00000000000000000000,0.00000000000000000000
15,0.2,250,0.5,0.5,BranchAndBound,43,0.00000000000000000000,0.00000000000000000000
15,0.2,250,0.5,0.5,DPByCapacity,255,0.00000000000000000000,0.00000000000000000000
15,0.2,250,0.5,0.5,VWRatioHeuristic,17,0.09901599015990160000,0.02487534197555254000
15,0.4,250,0.5,0.5,NaiveRecursionSansConfigVars,197,0.00000000000000000000,0.00000000000000000000
15,0.4,250,0.5,0.5,BranchAndBound,43,0.00000000000000000000,0.00000000000000000000
15,0.4,250,0.5,0.5,DPByCapacity,284,0.00000000000000000000,0.00000000000000000000
15,0.4,250,0.5,0.5,VWRatioHeuristic,13,0.10425354462051710000,0.03683670280560065000
15,0.6000000000000001,250,0.5,0.5,NaiveRecursionSansConfigVars,208,0.00000000000000000000,0.00000000000000000000
15,0.6000000000000001,250,0.5,0.5,BranchAndBound,55,0.00000000000000000000,0.00000000000000000000
15,0.6000000000000001,250,0.5,0.5,DPByCapacity,394,0.00000000000000000000,0.00000000000000000000
15,0.6000000000000001,250,0.5,0.5,VWRatioHeuristic,16,0.05329593267882188000,0.01948258296049600000
15,0.8,250,0.5,0.5,NaiveRecursionSansConfigVars,192,0.00000000000000000000,0.00000000000000000000
15,0.8,250,0.5,0.5,BranchAndBound,40,0.00000000000000000000,0.00000000000000000000
15,0.8,250,0.5,0.5,DPByCapacity,290,0.00000000000000000000,0.00000000000000000000
15,0.8,250,0.5,0.5,VWRatioHeuristic,13,0.06612244897959184000,0.01649052932649021700
15,1.0,250,0.5,0.5,NaiveRecursionSansConfigVars,199,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,BranchAndBound,40,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,DPByCapacity,319,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,VWRatioHeuristic,13,0.10393466963622866000,0.03235203035279597000
15,1.2,250,0.5,0.5,NaiveRecursionSansConfigVars,198,0.00000000000000000000,0.00000000000000000000
15,1.2,250,0.5,0.5,BranchAndBound,43,0.00000000000000000000,0.00000000000000000000
15,1.2,250,0.5,0.5,DPByCapacity,347,0.00000000000000000000,0.00000000000000000000
15,1.2,250,0.5,0.5,VWRatioHeuristic,13,0.05826906598114824000,0.01255045121971886700
15,1.4,250,0.5,0.5,NaiveRecursionSansConfigVars,192,0.00000000000000000000,0.00000000000000000000
15,1.4,250,0.5,0.5,BranchAndBound,46,0.00000000000000000000,0.00000000000000000000
15,1.4,250,0.5,0.5,DPByCapacity,343,0.00000000000000000000,0.00000000000000000000
15,1.4,250,0.5,0.5,VWRatioHeuristic,13,0.07080350039777247000,0.02163677089771717000
15,1.5999999999999999,250,0.5,0.5,NaiveRecursionSansConfigVars,191,0.00000000000000000000,0.00000000000000000000
15,1.5999999999999999,250,0.5,0.5,BranchAndBound,44,0.00000000000000000000,0.00000000000000000000
