n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,0.0,250,0.5,0.5,NaiveRecursionSansConfigVars,234,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,BranchAndBound,48,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,DPByCapacity,254,0.00000000000000000000,0.00000000000000000000
15,0.0,250,0.5,0.5,VWRatioHeuristic,24,0.05095962938451356600,0.01250139915977791600
15,0.5,250,0.5,0.5,NaiveRecursionSansConfigVars,188,0.00000000000000000000,0.00000000000000000000
15,0.5,250,0.5,0.5,BranchAndBound,40,0.00000000000000000000,0.00000000000000000000
15,0.5,250,0.5,0.5,DPByCapacity,181,0.00000000000000000000,0.00000000000000000000
15,0.5,250,0.5,0.5,VWRatioHeuristic,16,0.04842767295597484600,0.00893478983669097000
15,1.0,250,0.5,0.5,NaiveRecursionSansConfigVars,201,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,BranchAndBound,33,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,DPByCapacity,117,0.00000000000000000000,0.00000000000000000000
15,1.0,250,0.5,0.5,VWRatioHeuristic,13,0.07469102632993015000,0.01256972118081403000
15,1.5,250,0.5,0.5,NaiveRecursionSansConfigVars,191,0.00000000000000000000,0.00000000000000000000
15,1.5,250,0.5,0.5,BranchAndBound,37,0.00000000000000000000,0.00000000000000000000
15,1.5,250,0.5,0.5,DPByCapacity,94,0.00000000000000000000,0.00000000000000000000
15,1.5,250,0.5,0.5,VWRatioHeuristic,12,0.07050243111831442000,0.01397113889949299200
15,2.0,250,0.5,0.5,NaiveRecursionSansConfigVars,186,0.00000000000000000000,0.00000000000000000000
15,2.0,250,0.5,0.5,BranchAndBound,39,0.00000000000000000000,0.00000000000000000000
15,2.0,250,0.5,0.5,DPByCapacity,84,0.00000000000000000000,0.00000000000000000000
15,2.0,250,0.5,0.5,VWRatioHeuristic,12,0.06899166034874905000,0.00858683184764964500
15,2.5,250,0.5,0.5,NaiveRecursionSansConfigVars,188,0.00000000000000000000,0.00000000000000000000
15,2.5,250,0.5,0.5,BranchAndBound,39,0.00000000000000000000,0.00000000000000000000
15,2.5,250,0.5,0.5,DPByCapacity,65,0.00000000000000000000,0.00000000000000000000
15,2.5,250,0.5,0.5,VWRatioHeuristic,12,0.03688524590163934400,0.00485410007165430000
15,3.0,250,0.5,0.5,NaiveRecursionSansConfigVars,186,0.00000000000000000000,0.00000000000000000000
15,3.0,250,0.5,0.5,BranchAndBound,45,0.00000000000000000000,0.00000000000000000000
15,3.0,250,0.5,0.5,DPByCapacity,58,0.00000000000000000000,0.00000000000000000000
15,3.0,250,0.5,0.5,VWRatioHeuristic,12,0.03537170263788969000,0.00657062784649750500
15,3.5,250,0.5,0.5,NaiveRecursionSansConfigVars,187,0.00000000000000000000,0.00000000000000000000
15,3.5,250,0.5,0.5,BranchAndBound,49,0.00000000000000000000,0.00000000000000000000
15,3.5,250,0.5,0.5,DPByCapacity,54,0.00000000000000000000,0.00000000000000000000
15,3.5,250,0.5,0.5,VWRatioHeuristic,12,0.02226027397260274000,0.00235301029741829400
15,4.0,250,0.5,0.5,NaiveRecursionSansConfigVars,191,0.00000000000000000000,0.00000000000000000000
15,4.0,250,0.5,0.5,BranchAndBound,59,0.00000000000000000000,0.00000000000000000000
15,4.0,250,0.5,0.5,DPByCapacity,55,0.00000000000000000000,0.00000000000000000000
15,4.0,250,0.5,0.5,VWRatioHeuristic,12,0.05668358714043993000,0.01232161321795677800
15,4.5,250,0.5,0.5,NaiveRecursionSansConfigVars,189,0.00000000000000000000,0.00000000000000000000
15,4.5,250,0.5,0.5,BranchAndBound,58,0.00000000000000000000,0.00000000000000000000
15,4.5,250,0.5,0.5,DPByCapacity,49,0.00000000000000000000,0.00000000000000000000
15,4.5,250,0.5,0.5,VWRatioHeuristic,12,0.07273838630806846000,0.00771744806653798800
15,5.0,250,0.5,0.5,NaiveRecursionSansConfigVars,201,0.00000000000000000000,0.00000000000000000000
15,5.0,250,0.5,0.5,BranchAndBound,71,0.00000000000000000000,0.00000000000000000000
15,5.0,250,0.5,0.5,DPByCapacity,50,0.00000000000000000000,0.00000000000000000000
15,5.0,250,0.5,0.5,VWRatioHeuristic,13,0.04392971246006390000,0.00585690593704843400
