n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,50,250,0.5,0.5,NaiveRecursionSansConfigVars,293,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,BranchAndBound,109,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,DPByCapacity,526,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,VWRatioHeuristic,49,0.42481203007518800000,0.21109930344376146000
15,60,250,0.5,0.5,NaiveRecursionSansConfigVars,241,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,BranchAndBound,89,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,DPByCapacity,391,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,VWRatioHeuristic,19,0.41987179487179490000,0.19278464624158195000
15,70,250,0.5,0.5,NaiveRecursionSansConfigVars,236,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,BranchAndBound,79,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,DPByCapacity,382,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,VWRatioHeuristic,29,0.38753387533875340000,0.19490187378353518000
15,80,250,0.5,0.5,NaiveRecursionSansConfigVars,219,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,BranchAndBound,55,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,DPByCapacity,305,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,VWRatioHeuristic,19,0.30750605326876510000,0.11538772466899119000
15,90,250,0.5,0.5,NaiveRecursionSansConfigVars,301,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,BranchAndBound,68,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,DPByCapacity,213,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,VWRatioHeuristic,26,0.14223194748358860000,0.06297020471348906000
15,100,250,0.5,0.5,NaiveRecursionSansConfigVars,256,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,BranchAndBound,61,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,DPByCapacity,251,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,VWRatioHeuristic,16,0.15855855855855855000,0.06656914397565081000
15,110,250,0.5,0.5,NaiveRecursionSansConfigVars,210,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,BranchAndBound,53,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,DPByCapacity,275,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,VWRatioHeuristic,15,0.13662790697674418000,0.06018257919871787500
15,120,250,0.5,0.5,NaiveRecursionSansConfigVars,198,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,BranchAndBound,49,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,DPByCapacity,186,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,VWRatioHeuristic,12,0.16192560175054704000,0.05347943524045463400
15,130,250,0.5,0.5,NaiveRecursionSansConfigVars,193,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,BranchAndBound,41,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,DPByCapacity,171,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,VWRatioHeuristic,12,0.15719063545150502000,0.03108050074719232600
15,140,250,0.5,0.5,NaiveRecursionSansConfigVars,215,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,BranchAndBound,51,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,DPByCapacity,215,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,VWRatioHeuristic,14,0.09179687500000000000,0.04246594467037587000
15,150,250,0.5,0.5,NaiveRecursionSansConfigVars,207,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,BranchAndBound,64,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,DPByCapacity,235,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,VWRatioHeuristic,15,0.14684591520165460000,0.04952550771095967000
15,160,250,0.5,0.5,NaiveRecursionSansConfigVars,204,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,BranchAndBound,55,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,DPByCapacity,268,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,VWRatioHeuristic,18,0.06276150627615062000,0.01965599755492595700
15,170,250,0.5,0.5,NaiveRecursionSansConfigVars,217,0.00000000000000000000,0.00000000000000000000
15,170,250,0.5,0.5,BranchAndBound,54,0.00000000000000000000,0.00000000000000000000
15,170,250,0.5,0.5,DPByCapacity,268,0.00000000000000000000,0.00000000000000000000
15,170,250,0.5,0.5,VWRatioHeuristic,18,0.13247863247863248000,0.06376775579865090000
15,180,250,0.5,0.5,NaiveRecursionSansConfigVars,208,0.00000000000000000000,0.00000000000000000000
15,180,250,0.5,0.5,BranchAndBound,55,0.00000000000000000000,0.00000000000000000000
15,180,250,0.5,0.5,DPByCapacity,241,0.00000000000000000000,0.00000000000000000000
15,180,250,0.5,0.5,VWRatioHeuristic,15,0.09357997823721437000,0.03008701482488841000
15,190,250,0.5,0.5,NaiveRecursionSansConfigVars,203,0.00000000000000000000,0.00000000000000000000
15,190,250,0.5,0.5,BranchAndBound,56,0.00000000000000000000,0.00000000000000000000
15,190,250,0.5,0.5,DPByCapacity,249,0.00000000000000000000,0.00000000000000000000
15,190,250,0.5,0.5,VWRatioHeuristic,14,0.15891472868217055000,0.02551474660008490700
15,200,250,0.5,0.5,NaiveRecursionSansConfigVars,210,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,BranchAndBound,43,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,DPByCapacity,218,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,VWRatioHeuristic,15,0.07278481012658228000,0.02083407741207421400
15,210,250,0.5,0.5,NaiveRecursionSansConfigVars,210,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,BranchAndBound,47,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,DPByCapacity,286,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,VWRatioHeuristic,17,0.06462140992167102000,0.02058923535395984000
15,220,250,0.5,0.5,NaiveRecursionSansConfigVars,209,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,BranchAndBound,66,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,DPByCapacity,251,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,VWRatioHeuristic,20,0.09427880741337631000,0.02804214131513970600
15,230,250,0.5,0.5,NaiveRecursionSansConfigVars,196,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,BranchAndBound,43,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,DPByCapacity,174,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,VWRatioHeuristic,12,0.05506216696269982500,0.01735626431682213000
15,240,250,0.5,0.5,NaiveRecursionSansConfigVars,189,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,BranchAndBound,37,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,DPByCapacity,170,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,VWRatioHeuristic,12,0.05341055341055341000,0.01271641156126037400
15,250,250,0.5,0.5,NaiveRecursionSansConfigVars,190,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,BranchAndBound,37,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,DPByCapacity,165,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,VWRatioHeuristic,12,0.04911433172302738000,0.01638227794728535500
