n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,50,250,0.5,0.5,NaiveRecursionSansConfigVars,229,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,BranchAndBound,61,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,DPByCapacity,174,0.00000000000000000000,0.00000000000000000000
15,50,250,0.5,0.5,VWRatioHeuristic,20,0.04759206798866856000,0.01261945928369508400
15,60,250,0.5,0.5,NaiveRecursionSansConfigVars,204,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,BranchAndBound,45,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,DPByCapacity,123,0.00000000000000000000,0.00000000000000000000
15,60,250,0.5,0.5,VWRatioHeuristic,19,0.03054755043227666000,0.00853672426588065900
15,70,250,0.5,0.5,NaiveRecursionSansConfigVars,196,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,BranchAndBound,39,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,DPByCapacity,129,0.00000000000000000000,0.00000000000000000000
15,70,250,0.5,0.5,VWRatioHeuristic,13,0.06479057591623037000,0.01606728523534366500
15,80,250,0.5,0.5,NaiveRecursionSansConfigVars,196,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,BranchAndBound,34,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,DPByCapacity,161,0.00000000000000000000,0.00000000000000000000
15,80,250,0.5,0.5,VWRatioHeuristic,17,0.07468259895444361000,0.01537007931199072800
15,90,250,0.5,0.5,NaiveRecursionSansConfigVars,215,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,BranchAndBound,42,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,DPByCapacity,245,0.00000000000000000000,0.00000000000000000000
15,90,250,0.5,0.5,VWRatioHeuristic,15,0.05386949924127466000,0.01834640588308335300
15,100,250,0.5,0.5,NaiveRecursionSansConfigVars,206,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,BranchAndBound,46,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,DPByCapacity,243,0.00000000000000000000,0.00000000000000000000
15,100,250,0.5,0.5,VWRatioHeuristic,19,0.06375358166189111000,0.01679191333050125300
15,110,250,0.5,0.5,NaiveRecursionSansConfigVars,217,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,BranchAndBound,39,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,DPByCapacity,280,0.00000000000000000000,0.00000000000000000000
15,110,250,0.5,0.5,VWRatioHeuristic,17,0.07012417823228634000,0.01278128290245252200
15,120,250,0.5,0.5,NaiveRecursionSansConfigVars,217,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,BranchAndBound,46,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,DPByCapacity,211,0.00000000000000000000,0.00000000000000000000
15,120,250,0.5,0.5,VWRatioHeuristic,13,0.05620915032679739000,0.01899858961827382000
15,130,250,0.5,0.5,NaiveRecursionSansConfigVars,228,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,BranchAndBound,44,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,DPByCapacity,278,0.00000000000000000000,0.00000000000000000000
15,130,250,0.5,0.5,VWRatioHeuristic,15,0.08501742160278745000,0.02273789308477561600
15,140,250,0.5,0.5,NaiveRecursionSansConfigVars,205,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,BranchAndBound,37,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,DPByCapacity,283,0.00000000000000000000,0.00000000000000000000
15,140,250,0.5,0.5,VWRatioHeuristic,15,0.13204747774480713000,0.03101991031269095800
15,150,250,0.5,0.5,NaiveRecursionSansConfigVars,207,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,BranchAndBound,42,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,DPByCapacity,327,0.00000000000000000000,0.00000000000000000000
15,150,250,0.5,0.5,VWRatioHeuristic,16,0.13221884498480244000,0.03380774527655857000
15,160,250,0.5,0.5,NaiveRecursionSansConfigVars,202,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,BranchAndBound,40,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,DPByCapacity,340,0.00000000000000000000,0.00000000000000000000
15,160,250,0.5,0.5,VWRatioHeuristic,14,0.06644790812141099000,0.02417860291065890600
15,170,250,0.5,0.5,NaiveRecursionSansConfigVars,200,0.00000000000000000000,0.00000000000000000000
